,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,Six Sails Group,Data Scientist,Farīdābād,"Data Science Analyst
Qualification : BE, MBA
· Domain knowledge of the blockchain segment (preferable)
· Proficient in advanced excel – modeling, pivot tables, data analysis, etc.
· Sound knowledge of BI tools like Power BI or Tableau.
· Compile and analyze complex Excel models from raw data.
· Knowledge of Data Science, AI is essential to analyze, forecast and predict using proprietary algorithms.
· Knowledge on Python or R is essential.
· Flair to get market intelligence and skill to sense business and commercial insights
· Ability to form hypothesis, validate assumptions, test based on data gathered and write a cogent and logical report
· Ability to do financial assessments
Analyze industry dynamics from all relevant angles (demand-supply, price movement, profitability, changing regulatory and competitive landscape)
· Passion for deep tech and blockchain technology.
· Ability to grasp new technology concepts.
· Flair to get market intelligence and skill to sense business and commercial insights
· Proficiency in software programs like Python, R, Stata is an added advantage
· Willingness to learn new tools and modelling techniques to contribute to the on-going/new research projects.
Job Type: Full-time
Pay: ₹390,220.13 - ₹1,602,683.65 per year
Benefits:
Health insurance
Internet reimbursement
Schedule:
Evening shift
Ability to commute/relocate:
Faridabad - 121003, Haryana: Reliably commute or planning to relocate before starting work (Required)
Education:
Master's (Required)
Experience:
total work: 4 years (Required)
Data Science: 3 years (Required)
Expected Start Date: 06/09/2022
Show Less","₹9,96,452 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1,"Infosys Limited
3.9",Data Scientist,Bangalore,"Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization Technical skills • Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms o Deep Neural Network architectures o Model ensembling o Generative AI models o ML for Responsible AI • AI domains - NLP, speech, computer vision, structured data • Learning patterns – supervised, unsupervised, reinforcement learning • Tools for data analysis, auto ML, model deployment & scaling • Knowledge of datasets, pre-built models available in open community and 3rd party providers • Knowledge of software development & architectures • Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
Additional Responsibilities:
Soft Skills • Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex problem into smaller problems and create hypothesis • Innovation and experimentation Academic background • Degree in quantitative field – mathematics/ statistics/ computer science/ engineering
Preferred Skills:
Bigdata->Spark,Bigdata->Python,Artificial Intelligence->Data Science,Machine Learning->Data Science
Educational Requirements
Bachelor of Engineering
To apply to this job, click Apply Now
Show Less","₹5,66,099 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1981,$10+ billion (USD)
2,"Kimberly-Clark
4.0",Data Scientist,Bangalore,"Data Scientist
Job Description
The Data Scientist will apply his/her strong expertise in machine learning, data mining, and information retrieval to design, prototype and build next generation advanced analytics engine and services. The Data Scientist collaborates with translators to define technical problem statement and hypothesis to test; develops efficient and accurate analytical models that mimic business decisions.
Role & Responsibilities
Design, create, test and implement complex machine learning and deep learning models and algorithms that drive analytical solutions throughout the organization
Work with business managers to frame a problem, both mathematically and within the business context. Perform exploratory data analysis to gain insights about the problem
Experienced in proposing ROI based solutions to business driven by AI/ML; Be a storyteller to explain the ‘why & how’ of your data driven recommendations to cross-functional teams
Leverage variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks to achieve business outcomes
Leverage advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications to improve model recommendations
Conduct advanced statistical and other analysis to provide actionable insights, identify trends, and measure performance leveraging TensorFlow
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes
Identify and develop long-term data science processes, frameworks, tools, and standards
Comfortable working in programming languages like SQL, Python and R, as well as with frameworks like Azure ML Ops and Azure Machine Learning; experience designing solutions in distributed teams using Version Control tools like GIT
Curate and connect external data sets for broad enterprise-wide analytic usage
Develop company A/B testing framework and test model quality
Collaborate with internal stakeholders to understand business challenges and develop analytical solutions to optimize business processes & monitor outcomes
Have passion to advocate and educate on the value and importance of data driven decision making & analytical methods
Mentor and guide data science team members as well as developers and QA engineers working on the products.
Basic Qualifications
5+ years of experience in software development of large-scale data infrastructure and distributed systems
5+ years of experience in data extraction, transformation, statistical analysis and data modeling
5+ years of experience developing enterprise software using Java or Python
3+ years of experience in applying Data Mining and Machine Learning techniques to solve business problems
3+ years of experience using major RDBMS, SAP, Hadoop, Spark, Elasticsearch, or similar technologies
3+ years of experience with statistical modeling tools such as R, SAS, SciKit-learn,
Bachelors degree in Computer Science, Computer Engineering, Machine Learning, or related field or equivalent experience.
Technical Skills
Experience with Azure and/or GCP cloud platform
Experience in machine learning, statistics, optimization or related fields; deeper experience in working with large data sets, simulation/ optimization or distributed computing tools is a plus
Experience working with Open CV, Deep learning experience and time series analysis
Experience with Map/Reduce, SAP, Hadoop, Hive, Spark, etc.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets
Coding knowledge and experience with several languages: Python, Go, Java, JavaScript, R, SQL etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience visualizing/presenting data for stakeholders using: Tableau, PowerBI, Looker, Data Studio, Shiny, D3, ggplot,etc.
Professional Skill Requirements
Strong leadership and management skills
Strong communication and interpersonal skills
Strong analytical and problem-solving skills and passion for product development
Strong understanding of Agile methodologies and open to working in agile environments with multiple stakeholders
Professional attitude and service orientation; team player
Ability to translate business needs into potential analytics solution
Strong work ethic; ability to work at an abstract level and gain consensus
Ability to build a sense of trust & rapport to create a comfortable & effective workplace
Global VISA and Relocation Specifications:
K-C requires that an employee have authorization to work in the country in which the role is based. In the event an applicant does not have current work authorization, K-C will determine, in its sole discretion, whether to sponsor an individual for work authorization. However, based on immigration requirements, not all roles are suitable for sponsorship.
This role is available for local candidates already authorized to work in the role’s country only. K-C will not provide relocation support for this role.
Primary Location
IT Centre Bengaluru GDTC
Additional Locations
Worker Type
Employee
Worker Sub-Type
Regular
Time Type
Full time
Show Less",#N/A,10000+ Employees,Company - Public,Manufacturing,Consumer Product Manufacturing,1872,$10+ billion (USD)
3,"Wells Fargo
3.6",Market Data - Data Scientist,Telangana,"Market Data Data-Scientist

Role
Build Python API on top of Market Data System of Record
Write python scripts to analyze/transform/plot large amount of data
Develop/research machine learning models to identify and remediate data quality issues
Analyze Market Data used in end of day pricing and VaR
Identify and report data quality issues
Statistical analysis of time series data
Interact with Asset class specific subject matter experts to understand their use cases and implement models to identify data quality issues
Required Qualifications
5+ years of experience with strong programming skills in python to extract, manipulate and analyze large amount of data
Highly proficient in SQL
Experience working with large amount of market data from diverse sources
BS/BA degree or higher
Excellent oral/written communication skills
Desired Qualifications
Prior knowledge of statistical and analytical methods used in identifying data quality issues like outliers, stale data, gaps, etc
3-5 years of experience working with financial market data and time series
Knowledge in integrating Python based models with web frameworks like Flask.
Prior knowledge in interest rates/FX/Credit products
We Value Diversity

At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.
Start your job application: click Apply Now
Show Less",#N/A,10000+ Employees,Company - Public,Finance,Banking & Lending,1852,$10+ billion (USD)
4,"Wells Fargo
3.6",Data Scientist,Bangalore,"About this role:

The role involves developing and refining counterparty credit risk system and management tools. Enhancing the bank's ability to accurately quantify counterparty exposures by ensuring accurate trade and supporting data handling processes and model integration into the Counterparty risk monitoring and reporting platform. Providing first line of support for Counterparty Risk System platform.

Functional Responsibilities

Duties include, but are not limited to:
Design solutions by clearly defining and documenting business requirements, processes and methodologies that are needed to develop and support Counterparty Risk Management systems including:
Ensuring complete trade population and data elements to correctly generate required risk measures
Capturing limit approvals including BQR/CQR ratings.
Framework to manage applicable Netting agreements including determination of netting and collateral enforceability
Integrating approved models into the platform to generate and aggregate limits across multiple legal and product hierarchies
Workflow/approval management life cycle of limit breach and tenor violations
Data generation, aggregation, and archiving to support management, regulatory and other reporting needs
Essential qualifications/ Market skill set
5+ years of Market risk, Capital Markets, desk analyst, trading, Interest rate risk
Advanced SQL skills - experience with understanding and editing existing SQL queries
Excellent verbal, written and interpersonal communication skills
Ability to prioritize work, meet deadlines, achieve goals and work under pressure in a dynamic and complex environment
Strong problem solving and analytical skills required to identify root causes, define patterns and collaborate with stakeholders to design sustainable and logical production processes
Ability to articulate and document complex concepts in a clear, concise manner
Undergraduate degree in finance, economics, business, mathematics, or a quantitative, technical or related field
Preferred Skills & Abilities
Analyze and document data lineage through a large risk measures computational batch ETL platform
Leverage machine learning methods to identify anomalies and trends on large time series data sets
Leverage machine learning methods to classify support tickets and build a support recommender
Analyze and develop a knowledge repository for a large set of ETL batch jobs, in order to recommend best execution path and ongoing batch support
Perform data analysis for various risk projects, and define data validation rules and default rules
Troubleshoot data governance issues working with Counterparty Technology team and Data Sourcing/Quality teams
We Value Diversity

At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.
Apply Now: click Apply Now
Show Less",#N/A,10000+ Employees,Company - Public,Finance,Banking & Lending,1852,$10+ billion (USD)
5,Subbarao Vamanan and co,"Faculty Member in Data science , FSWD , Cloud and DevOps",Hyderābād,"Faculty in Data science, FSWD, Cloud and DevOps to train the learners for their placement in MNC
Job Type: Full-time
Salary: ₹25,000.00 - ₹30,000.00 per month
Schedule:
Day shift
Show Less","₹3,30,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,"Infosys Limited
3.9",DNA_Analytics,Bangalore,"Responsibilities
Applies business processes proficiency to understand the requirements for the business and translates this into an appropriate technical solution using suitable analytical tools. • Enhances and creates advanced processes/procedures and may recommend new tools/technologies. • Guides and provides direction to team members comprised of junior analysts • Understands the requirements for the business and translates this into an appropriate technical solution using suitable analytical tools within the guidelines of the project scope. • Leverages advanced knowledge and experience and translates into a hands-on application to provide solution's in the areas of predictive analytics and data visualization • Guides and provides direction to team members comprised of junior analysts.
Technical and Professional Requirements:
Proficiency with statistical analysis tools (e.g., SAS, SPSS, R), • Hands on experience in Statistical Techniques such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others, • Strong Excel, Access and PowerPoint skills, • Familiarity with database query tools (SQL), • Basic understanding of data warehouse architecture, • Experience of Campaign Management and Customer Segmentation is desirable, • Exposure to US/ overseas markets is preferred, • Domain experience in Retail/Finance/Supply Chain or/and Marketing will be an added bonus
Preferred Skills:
Analytics->Data Science
Generic Skills:
Analytics->Machine Learning
Educational Requirements
Bachelor of Engineering
To apply to this job, click Apply Now
Show Less","₹8,12,637 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1981,$10+ billion (USD)
7,Boston Institute of Analytics,Head of Academics - Data Science,Mumbai,"Job Description:
Develop educational process and policies to meet curriculum goals.
Develop unique and interactive educational programs and courses for students.
To oversee the smooth functioning of the institute and ensuring consistent provision for academic ambiance.
Maintains academic quality and vitality through the oversight, recruitment, and retention of faculty, staff, and students.
Ensures smooth daily operation of the faculty, staff, and physical facilities and schedules.
Coordinate the schedule of course offerings.
Attracts and maintain a distinguished and diverse faculty
Supports and develops the vision, mission, and future goals of the institute.
Mentors and guides faculty so that they may better mentor students, set scholarly goals, investigate creative interests within the field, and accomplish professional goals.
Performs other related duties as assigned.
Desired Candidate Profile:
IMMEDIATE JOINING
Excellent English communication and presentation skills, both verbal and written
Ability to analyze, anticipate, and schedule course offerings.
Attention to detail with a focus on thoroughness and quality.
Excellent customer focus and ability to work in a positive manner with a variety of people (students, faculty, staff, and administrators)
Current knowledge of industry practices, trends and issues
High integrity and ethical standards.
Charismatic, competitive and enthusiastic personality
Excellent interpersonal skills
Expertise in Microsoft Office
Qualifications:
B. Tech in any stream, Certification in Data Science
Experience:
Minimum 1 year experience as data analyst or as academic coordinator
Job Types: Full-time, Regular / Permanent
Salary: ₹600,000.00 - ₹800,000.00 per year
Jadwal:
Day shift
Application Question(s):
How many years of Experience do you have as a Data Analyst or as an Academic Counsellor?
Have you completed your B. Tech?
Do you have a certification in Data Science?
Speak with the employer
+91 8879434433
Show Less","₹7,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,"Infosys Limited
3.9",Technology Lead : Data Science I Machine Learning,Bangalore,"Responsibilities
A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. • You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. • You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. • You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. • You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
Additional Responsibilities:
• Knowledge of more than one technology • Basics of Architecture and Design fundamentals • Knowledge of Testing tools • Knowledge of agile methodologies • Understanding of Project life cycle activities on development and maintenance projects • Understanding of one or more Estimation methodologies, Knowledge of Quality processes • Basics of business domain to understand the business requirements • Analytical abilities, Strong Technical Skills, Good communication skills • Good understanding of the technology and domain • Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods • Awareness of latest technologies and trends • Excellent problem solving, analytical and debugging skills
Technical and Professional Requirements:
• Primary skills:Machine Learning,Machine Learning->Data Science

Preferred Skills:
Machine Learning->Data Science,Machine Learning
Educational Requirements
Bachelor of Engineering
Apply Now: click Apply Now
Show Less","₹6,03,777 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1981,$10+ billion (USD)
9,"CoffeeBeans Consulting
4.8",Data Scientist - Machine Learning,Hyderābād,"About CoffeeBeans Consulting
CoffeeBeans provides consulting services and helps in creating great businesses with cutting edge technology using Agile methodologies. CoffeeBeans is also a product factory which creates products for various domains primarily built on AI. Our main expertise lies in Big Data Analytics, Machine Learning and AI. We are also experts in Mobile Apps and Responsive Web apps. WRU and FastNext are our pet products. Where WRU is powering some of the biggest media houses with domain agnostic hyper-personalized recommendations, FastNext is an AI recruitment platform which finds talent based on not just technical skills but also based on cultural fitment and career objective fitment. Our core powerhouse lies in the people who make CoffeeBeans. We value a positive attitude, a sense of ownership and an insatiable hunger to learn every day.
Job Description
What you will be doing...
Selecting features, building and optimising machine learning models
Modeling time series problems with Stochastic Models
Processing, cleansing, and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear and understandable manner
Enhancing data collection procedures to include information that is relevant for building analytic systems
Brainstorm, contribute new ideas, conceive innovative strategies, and implement
solutions to difficult problems
Work closely with our backend team to interface with RESTful API services and
Contribute to the backend code when needed
Discover, design, develop, deploy, debug. Repeat!
What we are looking for...
4-8 years of experience in deep learning, NLP
Experience in Python Coding - Core Python, Data Structures, OOP concepts
Good in Algorithms - Space & Time Complexity, Solving coding problems
Have experience with Machine Learning - ML Algorithms, Evaluation Metrics
Exposure to Big Data - Hadoop, Hive
Understanding of Statistical test - Probability Distributions, Hypothesis testing etc
Excellent understanding of machine learning techniques such as Regression, classification, clustering, etc and relevant algorithms.
Good applied statistics skills such as distributions, statistical testing, regression and
probabilistic modeling.
Experience with common data science toolkits, such as Python, R etc. Excellence in
python is highly desirable.
Good scripting and programming skills. Experience in writing API services is additional
advantage.
Knowledge of Linux - Linux commands, shell scripting
Proficiency in using query languages such as SQL, Hive, SQL - Querying, Joins &
Transforming data
Experience with using Big Data systems like Spark, Kafka etc.
Experience with NoSQL databases and data warehouses, such as MongoDB, Redshift
Great communication skills.

experience_range : 5-8 years
skills : Machine Learning / Big Data / Hive / Hadoop / Python
Show Less","₹5,50,235 /yr (est.)",51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2017,$1 to $5 million (USD)
