,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,monthly,hourly,Salary,company_txt,Age,Python,Deep Learning,Spark,job_simp,seniority,desc_len
0,Data Scientist,"₹9,96,452 /yr (est.)","Data Science Analyst
Qualification : BE, MBA
· Domain knowledge of the blockchain segment (preferable)
· Proficient in advanced excel – modeling, pivot tables, data analysis, etc.
· Sound knowledge of BI tools like Power BI or Tableau.
· Compile and analyze complex Excel models from raw data.
· Knowledge of Data Science, AI is essential to analyze, forecast and predict using proprietary algorithms.
· Knowledge on Python or R is essential.
· Flair to get market intelligence and skill to sense business and commercial insights
· Ability to form hypothesis, validate assumptions, test based on data gathered and write a cogent and logical report
· Ability to do financial assessments
Analyze industry dynamics from all relevant angles (demand-supply, price movement, profitability, changing regulatory and competitive landscape)
· Passion for deep tech and blockchain technology.
· Ability to grasp new technology concepts.
· Flair to get market intelligence and skill to sense business and commercial insights
· Proficiency in software programs like Python, R, Stata is an added advantage
· Willingness to learn new tools and modelling techniques to contribute to the on-going/new research projects.
Job Type: Full-time
Pay: ₹390,220.13 - ₹1,602,683.65 per year
Benefits:
Health insurance
Internet reimbursement
Schedule:
Evening shift
Ability to commute/relocate:
Faridabad - 121003, Haryana: Reliably commute or planning to relocate before starting work (Required)
Education:
Master's (Required)
Experience:
total work: 4 years (Required)
Data Science: 3 years (Required)
Expected Start Date: 06/09/2022
Show Less",-1.0,Six Sails Group,Farīdābād,,-1.0,,,,,0,0,996452.0,Six Sails Group,-1.0,1,0,0,data scientist,na,1618
1,Data Scientist,"₹5,66,099 /yr (est.)","Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization Technical skills • Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms o Deep Neural Network architectures o Model ensembling o Generative AI models o ML for Responsible AI • AI domains - NLP, speech, computer vision, structured data • Learning patterns – supervised, unsupervised, reinforcement learning • Tools for data analysis, auto ML, model deployment & scaling • Knowledge of datasets, pre-built models available in open community and 3rd party providers • Knowledge of software development & architectures • Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
Additional Responsibilities:
Soft Skills • Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex problem into smaller problems and create hypothesis • Innovation and experimentation Academic background • Degree in quantitative field – mathematics/ statistics/ computer science/ engineering
Preferred Skills:
Bigdata->Spark,Bigdata->Python,Artificial Intelligence->Data Science,Machine Learning->Data Science
Educational Requirements
Bachelor of Engineering
Start your job application: click Apply Now
Show Less",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981.0,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,0,566099.0,Infosys Limited,41.0,1,0,1,data scientist,na,1718
2,Sr. Data Scientist,"₹9,60,000 /mo (est.)","Be part of team using advanced real-time scaled data aggregation and analysis platform. Learn new tools and techniques. Build Dashboards that real people use and love.
About Company: Lotus Interworks Inc is an advanced technology company with leadership team form Massachusetts Institute of Technology (MIT), Stanford University, and Harvard University. Our product Simplia is re-inventing Online Local Services Marketplaces, with deep technology and strong leadership and strategy in place.
Leadership Team:
Chairman: Ray Stata Founder of Analog Devices (ADI NASDAQ),
President & CEO: B Gopinath. He started as a scientist at Mathematics research center of AT&T bell laboratories. He holds several fundamental patents in communications and computer technologies.
Advisor: Alain Hanover, Senior Partner Elite Engineers Fund, at Alumni Venture Group (AVG recognized by PitchBook as the most active VC firm in the world in 2018).
Advisor: Bill Kerrigan, Bills career includes more than 30yrs of distinguished accomplishments, Including roles as President & CEO of Abine, Radialpoint, and as EVP of McAfee's Worldwide Consumer Business.
Job Title: Sr. Data Scientist
Responsibilities and Duties
Candidate will be responsible for developing intelligent data analysis systems and associated dashboards with integrated machine learning. Candidates must have proven ability to use modern tools for aggregating hi volume real-time data streams and automating its analysis and display to users and managers
Apply your expertise in quantitative analysis, data mining and data visualization with a goal of improving user experience and business results and share insights with product and business teams
Experience in Data Modelling, R, Python, SQL, Data Science, Statistics
High level of proficiency in statistical tools like R, Python
Candidate will be expected to communicate analytical results in a way that is meaningful for business stakeholders and provides actionable insights.
Have the ability to discover new opportunities where advanced analytical techniques can be leveraged for solving business problems
Skills Preferred
Experience in Apache Superset, Ninja, SQL Alchemy
Experience in programming languages like Python
Experience: 2 – 4 years
Employment Mode: Work From Home
Shift Model: Candidates should be available for the scheduled shift in IST & PST (Open for Night Shifts).
Work Environment Needs: A proper and quiet workplace with all necessary infrastructure is mandatory (Laptop, Headset, Desk, Chair & Power Back up)
Bandwidth Needs: Candidates should have a primary broadband connection with minimum of 30Mbps and a secondary connection which will serve as a backup, company will reimburse the amount incurred towards the broadband installation & monthly data charges borne by the employees, based on the submission of Invoice/receipt to accounts department for both primary & secondary connection
Work Remotely
Yes
Job Types: Full-time, Contract
Pay: From ₹80,000.00 per month
Benefits:
Internet reimbursement
Schedule:
Night shift
Experience:
total work: 6 years (Preferred)
Show Less",3.9,"Lotus Interworks Inc
3.9",Cochin,1 to 50 Employees,1997.0,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),1,0,11520000.0,Lotus Interworks Inc,25.0,1,0,0,data scientist,senior,3100
3,"Faculty Member in Data science , FSWD , Cloud and DevOps","₹3,30,000 /mo (est.)","Faculty in Data science, FSWD, Cloud and DevOps to train the learners for their placement in MNC
Job Type: Full-time
Salary: ₹25,000.00 - ₹30,000.00 per month
Schedule:
Day shift
Show Less",-1.0,Subbarao Vamanan and co,Hyderābād,,-1.0,,,,,1,0,3960000.0,Subbarao Vamanan and co,-1.0,0,0,0,na,na,188
4,DNA_Analytics,"₹8,12,637 /yr (est.)","Responsibilities
Applies business processes proficiency to understand the requirements for the business and translates this into an appropriate technical solution using suitable analytical tools. • Enhances and creates advanced processes/procedures and may recommend new tools/technologies. • Guides and provides direction to team members comprised of junior analysts • Understands the requirements for the business and translates this into an appropriate technical solution using suitable analytical tools within the guidelines of the project scope. • Leverages advanced knowledge and experience and translates into a hands-on application to provide solution's in the areas of predictive analytics and data visualization • Guides and provides direction to team members comprised of junior analysts.
Technical and Professional Requirements:
Proficiency with statistical analysis tools (e.g., SAS, SPSS, R), • Hands on experience in Statistical Techniques such as Decision Tree, Segmentation, Logistic and Multiple Regression, and others, • Strong Excel, Access and PowerPoint skills, • Familiarity with database query tools (SQL), • Basic understanding of data warehouse architecture, • Experience of Campaign Management and Customer Segmentation is desirable, • Exposure to US/ overseas markets is preferred, • Domain experience in Retail/Finance/Supply Chain or/and Marketing will be an added bonus
Preferred Skills:
Analytics->Data Science
Generic Skills:
Analytics->Machine Learning
Educational Requirements
Bachelor of Engineering
Apply Now: click Apply Now
Show Less",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981.0,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,0,812637.0,Infosys Limited,41.0,0,0,0,na,na,1572
5,Head of Academics - Data Science,"₹7,00,000 /yr (est.)","Job Description:
Develop educational process and policies to meet curriculum goals.
Develop unique and interactive educational programs and courses for students.
To oversee the smooth functioning of the institute and ensuring consistent provision for academic ambiance.
Maintains academic quality and vitality through the oversight, recruitment, and retention of faculty, staff, and students.
Ensures smooth daily operation of the faculty, staff, and physical facilities and schedules.
Coordinate the schedule of course offerings.
Attracts and maintain a distinguished and diverse faculty
Supports and develops the vision, mission, and future goals of the institute.
Mentors and guides faculty so that they may better mentor students, set scholarly goals, investigate creative interests within the field, and accomplish professional goals.
Performs other related duties as assigned.
Desired Candidate Profile:
IMMEDIATE JOINING
Excellent English communication and presentation skills, both verbal and written
Ability to analyze, anticipate, and schedule course offerings.
Attention to detail with a focus on thoroughness and quality.
Excellent customer focus and ability to work in a positive manner with a variety of people (students, faculty, staff, and administrators)
Current knowledge of industry practices, trends and issues
High integrity and ethical standards.
Charismatic, competitive and enthusiastic personality
Excellent interpersonal skills
Expertise in Microsoft Office
Qualifications:
B. Tech in any stream, Certification in Data Science
Experience:
Minimum 1 year experience as data analyst or as academic coordinator
Job Types: Full-time, Regular / Permanent
Salary: ₹600,000.00 - ₹800,000.00 per year
Jadwal:
Day shift
Application Question(s):
How many years of Experience do you have as a Data Analyst or as an Academic Counsellor?
Have you completed your B. Tech?
Do you have a certification in Data Science?
Speak with the employer
+91 8879434433
Show Less",-1.0,Boston Institute of Analytics,Mumbai,,-1.0,,,,,0,0,700000.0,Boston Institute of Analytics,-1.0,0,0,0,na,na,1977
6,Technology Lead : Data Science I Machine Learning,"₹6,03,777 /yr (est.)","Responsibilities
A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. • You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. • You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. • You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. • You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
Additional Responsibilities:
• Knowledge of more than one technology • Basics of Architecture and Design fundamentals • Knowledge of Testing tools • Knowledge of agile methodologies • Understanding of Project life cycle activities on development and maintenance projects • Understanding of one or more Estimation methodologies, Knowledge of Quality processes • Basics of business domain to understand the business requirements • Analytical abilities, Strong Technical Skills, Good communication skills • Good understanding of the technology and domain • Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods • Awareness of latest technologies and trends • Excellent problem solving, analytical and debugging skills
Technical and Professional Requirements:
• Primary skills:Machine Learning,Machine Learning->Data Science

Preferred Skills:
Machine Learning->Data Science,Machine Learning
Educational Requirements
Bachelor of Engineering
Apply Now: click Apply Now
Show Less",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981.0,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,0,603777.0,Infosys Limited,41.0,0,0,0,mle,senior,2160
7,Data Scientist - Machine Learning,"₹5,50,235 /yr (est.)","About CoffeeBeans Consulting
CoffeeBeans provides consulting services and helps in creating great businesses with cutting edge technology using Agile methodologies. CoffeeBeans is also a product factory which creates products for various domains primarily built on AI. Our main expertise lies in Big Data Analytics, Machine Learning and AI. We are also experts in Mobile Apps and Responsive Web apps. WRU and FastNext are our pet products. Where WRU is powering some of the biggest media houses with domain agnostic hyper-personalized recommendations, FastNext is an AI recruitment platform which finds talent based on not just technical skills but also based on cultural fitment and career objective fitment. Our core powerhouse lies in the people who make CoffeeBeans. We value a positive attitude, a sense of ownership and an insatiable hunger to learn every day.
Job Description
What you will be doing...
Selecting features, building and optimising machine learning models
Modeling time series problems with Stochastic Models
Processing, cleansing, and verifying the integrity of data used for analysis.
Doing ad-hoc analysis and presenting results in a clear and understandable manner
Enhancing data collection procedures to include information that is relevant for building analytic systems
Brainstorm, contribute new ideas, conceive innovative strategies, and implement
solutions to difficult problems
Work closely with our backend team to interface with RESTful API services and
Contribute to the backend code when needed
Discover, design, develop, deploy, debug. Repeat!
What we are looking for...
4-8 years of experience in deep learning, NLP
Experience in Python Coding - Core Python, Data Structures, OOP concepts
Good in Algorithms - Space & Time Complexity, Solving coding problems
Have experience with Machine Learning - ML Algorithms, Evaluation Metrics
Exposure to Big Data - Hadoop, Hive
Understanding of Statistical test - Probability Distributions, Hypothesis testing etc
Excellent understanding of machine learning techniques such as Regression, classification, clustering, etc and relevant algorithms.
Good applied statistics skills such as distributions, statistical testing, regression and
probabilistic modeling.
Experience with common data science toolkits, such as Python, R etc. Excellence in
python is highly desirable.
Good scripting and programming skills. Experience in writing API services is additional
advantage.
Knowledge of Linux - Linux commands, shell scripting
Proficiency in using query languages such as SQL, Hive, SQL - Querying, Joins &
Transforming data
Experience with using Big Data systems like Spark, Kafka etc.
Experience with NoSQL databases and data warehouses, such as MongoDB, Redshift
Great communication skills.

experience_range : 5-8 years
skills : Machine Learning / Big Data / Hive / Hadoop / Python
Show Less",4.8,"CoffeeBeans Consulting
4.8",Hyderābād,51 to 200 Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),0,0,550235.0,CoffeeBeans Consulting,5.0,1,1,1,data scientist,na,2869
8,Data Science,"₹7,18,785 /yr (est.)","Responsibilities
Design and develop ML / NLP models for the project requirement
Deliver ownership to setup ML / NLP models with respect to tools, data and infrastructure as required
Work closely with Product Owner and Product architect right from ML based solution conceptualization till implementation in response to a client requirement
Thought leadership on building ML/NLP based solution based on client requirements
Lead the ML / NLP dialogue during the customer visits and other partner events
Required Skills & Competencies
Strong knowledge of machine learning / NLP algorithms– Information extraction, named entity recognition, text clustering, Knowledge Graph,text summarization, intent classification, word embeddings, vector space models; experience in developing models
Strong experience in NLP using Python; experience in developing microservices and web services
Understanding of data and data analysis; experience with large data sets
Thorough with pandas, scikit and numpy
4+ years of experience implementing and deploying machine learning and deep learning frameworks (Spark, TensorFlow, Keras, Caffe, etc.) through distribution cluster and application programming in cloud platforms including Azure, IBM, AWS and GCP.
Hands on experience Data Science / Big Data technology and architecture

4.00-13.00 Years
Show Less",3.8,"Larsen & Toubro Infotech Limited
3.8",Mumbai,10000+ Employees,1997.0,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,718785.0,Larsen & Toubro Infotech Limited,25.0,1,1,1,na,na,1335
9,Data Scientist - Bangalore,"₹3,40,724 /yr (est.)","In Risk Management & Compliance Technology Machine Learning at JPMorgan Chase, our role involves solving challenging business problems such as Anti-Money Laundering and Surveillance through data science and machine learning techniques across Risk, Compliance, Conduct and Operational Risk. The Data Scientist is an individual contributor that should be able to apply quantitative, data science and analytical skills to complex problems. He/she should be able to work across teams to design, develop, and evaluate and execute against those data science and analytical solutions with a keen functional understanding of the business problem. He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions

The Data Scientist is an individual contributor that should be able to apply quantitative, data science and analytical skills to complex problems. He/she should be able to work across teams to design, develop, and evaluate and execute against those data science and analytical solutions with a keen functional understanding of the business problem. He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions.

The position will serve as a thought leader including advising on optimal solutions and opining on challenger models. The role works on strategic, highly visible projects firm wide. It is an opportunity to have meaningful impact on a large scale at a leading financial services firm. The role will develop data-centric solutions that move the bottom line for the firm.

In Risk Management & Compliance Technology Machine Learning at JPMorgan Chase, our role involves solving challenging business problems such as Anti-Money Laundering and Surveillance through data science and machine learning techniques across Risk, Compliance, Conduct and Operational Risk.

This role requires a wide variety of strengths and capabilities, including:

Advanced degree in analytical field (e.g., Data Science, Computer Science, Engineering, Applied Mathematics, Statistics, Data Analysis, Operations Research)
Extensive practical expertise and work experience with Machine Learning, both supervised and unsupervised. Deep Learning (neural network) experience is preferred
Experience across broad range of modern analytic and data tools, particularly Python/Anaconda and/or R, XGBoost, Tensorflow and/or Keras, Spark, Hive, SQL
Experience working with engineering teams to operationalize Machine Learning models
Excellent problem solving, communications, and teamwork skills
Financial service background preferred, but not required

JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.
Show Less",3.7,"JPMorgan Chase Bank, N.A.
3.7",Bangalore,10000+ Employees,1799.0,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,0,340724.0,"JPMorgan Chase Bank, N.A.",223.0,1,1,1,data scientist,na,3902
